"","ID","both_high","both_low","diff","participant","X1","type","result","risky_high","risky_both","anx_high"
"1",1,0.717647058823529,0.278481012658228,0.439166046165302,"sub-001",2,"TAI",44,0.439166046165302,0.996128071481757,0
"2",3,0.566666666666667,0.51685393258427,0.0498127340823969,"sub-003",4,"TAI",44,0.0498127340823969,1.08352059925094,0
"3",4,0.844444444444444,0.0555555555555556,0.788888888888889,"sub-004",6,"TAI",60,0.788888888888889,0.9,1
"4",5,0.511111111111111,0.577777777777778,-0.0666666666666667,"sub-005",8,"TAI",45,-0.0666666666666667,1.08888888888889,0
"5",6,0.7,0.166666666666667,0.533333333333333,"sub-006",10,"TAI",54,0.533333333333333,0.866666666666667,1
"6",7,0.733333333333333,0.377777777777778,0.355555555555556,"sub-007",12,"TAI",57,0.355555555555556,1.11111111111111,1
"7",8,0.644444444444444,0.644444444444444,0,"sub-008",14,"TAI",55,0,1.28888888888889,1
"8",9,0.522222222222222,0.411111111111111,0.111111111111111,"sub-009",16,"TAI",48,0.111111111111111,0.933333333333333,1
"9",10,0.555555555555556,0.433333333333333,0.122222222222222,"sub-010",18,"TAI",50,0.122222222222222,0.988888888888889,1
"10",11,0.5,0.511111111111111,-0.0111111111111111,"sub-013",22,"TAI",45,-0.0111111111111111,1.01111111111111,0
"11",12,0.511111111111111,0.622222222222222,-0.111111111111111,"sub-014",24,"TAI",51,-0.111111111111111,1.13333333333333,1
"12",13,0.4,0.5,-0.1,"sub-015",26,"TAI",46,-0.1,0.9,1
"13",14,0.277777777777778,0.359550561797753,-0.081772784019975,"sub-017",30,"TAI",42,-0.081772784019975,0.637328339575531,0
"14",15,0.511111111111111,0.0333333333333333,0.477777777777778,"sub-018",32,"TAI",55,0.477777777777778,0.544444444444444,1
"15",16,0.644444444444444,0.366666666666667,0.277777777777778,"sub-019",34,"TAI",44,0.277777777777778,1.01111111111111,0
"16",17,0.166666666666667,0.466666666666667,-0.3,"sub-021",38,"TAI",28,-0.3,0.633333333333333,0
"17",18,0.677777777777778,0.588888888888889,0.0888888888888889,"sub-022",40,"TAI",56,0.0888888888888889,1.26666666666667,1
"18",19,0.8,0.3,0.5,"sub-023",42,"TAI",55,0.5,1.1,1
"19",20,0.528089887640449,0.482352941176471,0.0457369464639788,"sub-024",44,"TAI",48,0.0457369464639788,1.01044282881692,1
"20",21,0.644444444444444,0.477777777777778,0.166666666666667,"sub-025",46,"TAI",51,0.166666666666667,1.12222222222222,1
"21",22,0.280898876404494,0.433333333333333,-0.152434456928839,"sub-026",48,"TAI",28,-0.152434456928839,0.714232209737828,0
"22",23,0.488888888888889,0.522222222222222,-0.0333333333333334,"sub-027",50,"TAI",22,-0.0333333333333334,1.01111111111111,0
"23",24,0.133333333333333,0.477777777777778,-0.344444444444444,"sub-028",52,"TAI",30,-0.344444444444444,0.611111111111111,0
"24",25,0.344444444444444,0.651685393258427,-0.307240948813983,"sub-029",54,"TAI",57,-0.307240948813983,0.996129837702871,1
"25",26,0.377777777777778,0.51685393258427,-0.139076154806492,"sub-030",56,"TAI",43,-0.139076154806492,0.894631710362047,0
"26",27,0.766666666666667,0.677777777777778,0.0888888888888889,"sub-031",58,"TAI",53,0.0888888888888889,1.44444444444444,1
"27",28,0.8,0.733333333333333,0.0666666666666668,"sub-032",60,"TAI",44,0.0666666666666668,1.53333333333333,0
